epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,4215.51,1.3691,3.1783,1.0458,0.43393,0.52735,0.48626,0.27427,1.51947,3.14442,1.03029,0.000909688,0.000909688,0.000909688
57,4287.14,1.35718,3.13242,1.04581,0.42655,0.60266,0.48251,0.27653,1.58303,3.21298,1.04051,0.0009035,0.0009035,0.0009035
58,4357.43,1.3316,3.05407,1.03057,0.38085,0.58021,0.45601,0.27022,1.45691,3.1924,1.00756,0.000897313,0.000897313,0.000897313
59,4430.35,1.35135,3.07538,1.02417,0.34384,0.59731,0.45409,0.27506,1.35231,3.11166,0.98602,0.000891125,0.000891125,0.000891125
60,4500.39,1.38179,3.16717,1.0556,0.41044,0.54066,0.44401,0.26036,1.47602,3.23723,1.02848,0.000884938,0.000884938,0.000884938
61,4571.39,1.38109,3.14447,1.04705,0.44793,0.54706,0.44611,0.23321,1.64329,3.27335,1.06771,0.00087875,0.00087875,0.00087875
62,4642.76,1.37373,3.06214,1.02705,0.32795,0.5796,0.43589,0.26849,1.36242,3.18271,0.99016,0.000872563,0.000872563,0.000872563
63,4714.04,1.36276,3.11425,1.04731,0.38993,0.40853,0.37838,0.22906,1.44763,3.53906,1.00453,0.000866375,0.000866375,0.000866375
64,4784.53,1.34813,3.09368,1.03136,0.42243,0.54945,0.45882,0.25497,1.51311,3.27081,1.02148,0.000860188,0.000860188,0.000860188
65,4856.28,1.38732,3.08095,1.04208,0.31595,0.56735,0.43322,0.24772,1.46318,3.22869,1.00859,0.000854,0.000854,0.000854
66,4927.64,1.34972,3.0572,1.02879,0.37535,0.52815,0.45122,0.27835,1.32403,3.1116,0.97596,0.000847813,0.000847813,0.000847813
67,5000.08,1.36112,3.10299,1.03737,0.45155,0.63284,0.4977,0.29204,1.39708,3.07335,0.99016,0.000841625,0.000841625,0.000841625
68,5072.18,1.35045,3.04734,1.03096,0.45871,0.54676,0.49262,0.26049,1.60648,3.17259,1.04799,0.000835438,0.000835438,0.000835438
69,5142.87,1.37231,3.15922,1.05574,0.45151,0.5629,0.47186,0.25553,1.62879,3.23992,1.05324,0.00082925,0.00082925,0.00082925
70,5213.07,1.32484,3.07324,1.02852,0.36864,0.5973,0.45332,0.2727,1.40567,3.1235,0.99447,0.000823063,0.000823063,0.000823063
71,5285.42,1.36598,3.10403,1.03299,0.37975,0.47878,0.4247,0.24402,1.53016,3.25365,1.02116,0.000816875,0.000816875,0.000816875
72,5358.54,1.3704,3.11598,1.04764,0.40254,0.51552,0.44198,0.26302,1.43599,3.10348,0.99821,0.000810688,0.000810688,0.000810688
73,5431.95,1.34338,3.08668,1.03605,0.34861,0.52782,0.43769,0.26947,1.33482,3.14356,0.98598,0.0008045,0.0008045,0.0008045
74,5506.18,1.316,2.98908,1.02261,0.34632,0.51291,0.43908,0.24238,1.58096,3.18497,1.03207,0.000798313,0.000798313,0.000798313
