epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2831.14,1.42188,1.14408,0.96472,0.65477,0.47149,0.4384,0.29399,1.24023,1.03017,0.94795,0.0004085,0.0004085,0.0004085
70,2877.11,1.46501,1.16999,0.98739,0.64049,0.46296,0.42806,0.28702,1.24871,1.03798,0.94975,0.000396125,0.000396125,0.000396125
71,2922.07,1.40827,1.14767,0.98546,0.65647,0.4815,0.43353,0.29093,1.23736,1.03311,0.95221,0.00038375,0.00038375,0.00038375
72,2967.22,1.45994,1.16883,0.99209,0.65544,0.46599,0.45357,0.29726,1.23422,1.01164,0.95619,0.000371375,0.000371375,0.000371375
73,3012.92,1.43613,1.16209,0.97629,0.66637,0.44621,0.43286,0.29277,1.231,1.01985,0.95194,0.000359,0.000359,0.000359
74,3058.43,1.406,1.12865,0.97138,0.66046,0.44391,0.43525,0.2903,1.26483,1.02487,0.95409,0.000346625,0.000346625,0.000346625
75,3104.64,1.42466,1.13688,0.98581,0.63922,0.48709,0.4328,0.28762,1.23948,1.02087,0.95357,0.00033425,0.00033425,0.00033425
76,3149.28,1.40208,1.13114,0.99396,0.61194,0.48777,0.43496,0.28239,1.27702,1.03349,0.9622,0.000321875,0.000321875,0.000321875
77,3195.55,1.42592,1.15813,0.99447,0.63091,0.49043,0.45449,0.30249,1.22748,1.0177,0.95383,0.0003095,0.0003095,0.0003095
78,3241.02,1.43523,1.15032,0.98612,0.67783,0.4292,0.43194,0.29501,1.22598,1.03068,0.95455,0.000297125,0.000297125,0.000297125
79,3286.59,1.42741,1.15456,0.97859,0.6598,0.44441,0.41497,0.2755,1.2671,1.06773,0.96023,0.00028475,0.00028475,0.00028475
80,3332.37,1.41033,1.12203,0.97143,0.63948,0.44924,0.4129,0.27381,1.26188,1.0788,0.95582,0.000272375,0.000272375,0.000272375
81,3376.24,1.38573,1.12349,0.97663,0.65106,0.45462,0.41825,0.27979,1.24084,1.0588,0.95503,0.00026,0.00026,0.00026
82,3422.49,1.4011,1.12448,0.97308,0.64928,0.44248,0.4202,0.27986,1.24382,1.04044,0.95801,0.000247625,0.000247625,0.000247625
83,3467.94,1.41718,1.13042,0.98809,0.65285,0.45087,0.42967,0.28361,1.25916,1.02314,0.96177,0.00023525,0.00023525,0.00023525
84,3512.59,1.36851,1.09397,0.97238,0.63499,0.46296,0.43766,0.29387,1.23622,1.01054,0.95507,0.000222875,0.000222875,0.000222875
85,3558.25,1.40955,1.11128,0.976,0.65175,0.45428,0.43827,0.2947,1.23442,1.01237,0.9539,0.0002105,0.0002105,0.0002105
86,3603.17,1.39867,1.09691,0.97622,0.64151,0.45617,0.4394,0.29779,1.19261,1.00735,0.94581,0.000198125,0.000198125,0.000198125
87,3649.17,1.4046,1.13374,0.98376,0.64947,0.45304,0.43407,0.29048,1.206,1.02298,0.94756,0.00018575,0.00018575,0.00018575
88,3693.93,1.37749,1.09569,0.96877,0.63706,0.47541,0.42524,0.28739,1.21058,1.03072,0.94795,0.000173375,0.000173375,0.000173375
89,3739.28,1.3555,1.09468,0.97999,0.62386,0.49764,0.41897,0.28225,1.22625,1.02564,0.95263,0.000161,0.000161,0.000161
90,3785.8,1.41534,1.11669,0.97522,0.62315,0.49137,0.43131,0.29171,1.2056,1.00976,0.95052,0.000148625,0.000148625,0.000148625
91,3826.03,1.33364,1.19226,0.97822,0.64012,0.46749,0.43343,0.29456,1.19265,1.00821,0.94651,0.00013625,0.00013625,0.00013625
92,3866.59,1.33461,1.18204,0.97774,0.63846,0.4774,0.4163,0.2846,1.19741,1.03751,0.94754,0.000123875,0.000123875,0.000123875
93,3907.64,1.31619,1.13472,0.97932,0.63586,0.46791,0.41672,0.28326,1.2032,1.05033,0.94759,0.0001115,0.0001115,0.0001115
94,3948.74,1.30721,1.11372,0.97323,0.6365,0.46244,0.41941,0.28668,1.20396,1.04425,0.94826,9.9125e-05,9.9125e-05,9.9125e-05
95,3990.12,1.31368,1.12087,0.97378,0.63929,0.45161,0.417,0.28488,1.20235,1.04406,0.9479,8.675e-05,8.675e-05,8.675e-05
96,4031.02,1.3094,1.09705,0.96743,0.65295,0.44281,0.4187,0.28783,1.19646,1.05215,0.94821,7.4375e-05,7.4375e-05,7.4375e-05
97,4072.73,1.32228,1.11098,0.96712,0.62523,0.47944,0.41974,0.28888,1.19847,1.06268,0.94913,6.2e-05,6.2e-05,6.2e-05
